Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,1e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,20,20,10,100
Vertical Units,V,V,A,V
Vertical Offset,0,0,0,0
Vertical Scale,20,20,5,50
Label,,,,
TIME,CH1,CH2,CH3,CH4
-7.6816e-02,32.0156,-0.046875,-4.95117,90.3809
-7.6808e-02,32.0938,-0.03125,-4.85156,90.1562
-7.6800e-02,32.1328,0,-4.82422,91.2012
-7.6792e-02,32.5352,0.03125,-4.68848,90.2734
-7.6784e-02,32.125,-0.046875,-4.67676,90.2832
-7.6776e-02,32.2148,-0.0625,-4.66406,91.0449
-7.6768e-02,31.8711,0,-4.76953,89.9609
-7.6760e-02,32.625,-0.339844,-4.82617,91.1719
-7.6752e-02,32.2734,-0.078125,-4.81641,89.8437
-7.6744e-02,32.7188,0.0625,-4.6084,90.2344
-7.6736e-02,32.7227,0,-4.75781,90.1172
-7.6728e-02,32.3945,0,-4.64453,90
-7.6720e-02,32.3984,0.015625,-4.64941,90.3125
-7.6712e-02,32.8164,-0.03125,-4.62402,90.4687
-7.6704e-02,32.7695,0.09375,-4.62988,90.2344
-7.6696e-02,32.8555,0.03125,-4.63281,90.2344
-7.6688e-02,32.8516,-0.339844,-4.36523,91.1914
-7.6680e-02,32.5469,0,-4.58398,89.248
-7.6672e-02,33.293,0.078125,-4.57031,90.9961
-7.6664e-02,32.457,0.03125,-4.41309,89.1211
-7.6656e-02,32.9219,-0.410156,-4.25781,90.2344
